sbd,yy,toan,van,khxh,khtn,ls,dl,gdcd,sh,vl,hh,ta
2008709,2002,5.8,7.5,5.5,-1,4.25,4.5,7.75,-1,-1,-1,2.2
2008710,2001,7,6.75,-1,4.5,-1,-1,-1,4.25,4.25,5,1.6
2008711,2002,7,7.75,9.33,-1,9.75,8.5,9.75,-1,-1,-1,5
2008712,2002,8,5.75,-1,6.33,-1,-1,-1,5,6.25,7.75,5.4
2008713,2002,7,6,-1,5.17,-1,-1,-1,4,6.5,5,4.6
2008714,2002,7.2,5,-1,5.25,-1,-1,-1,5.75,5.5,4.5,4.4
2008715,2002,7.2,6.75,-1,5.92,-1,-1,-1,5.25,6.25,6.25,3.4
2008716,2002,8.8,6.17,6.83,-1,4.5,7.25,8.75,-1,-1,-1,5.2
2008717,2002,7.4,6.5,-1,5.92,-1,-1,-1,4.75,6.5,6.5,8.2
2008718,2002,7.8,5.75,-1,7,-1,-1,-1,6.75,6.75,7.5,6.6
2008719,2002,6.2,6,6.75,-1,5.25,6.75,8.25,-1,-1,-1,5.4
2008720,2002,8.4,6.75,-1,6.33,-1,-1,-1,6.5,5.25,7.25,4.6
2008721,2002,5.8,8,6.42,-1,5,5.75,8.5,-1,-1,-1,5
2008722,2002,4.6,6,-1,4.42,-1,-1,-1,3.75,5,4.5,3.4
2008723,2002,8.6,7,-1,6.17,-1,-1,-1,6,5,7.5,4.8
2008724,2002,7.4,6.5,-1,6,-1,-1,-1,4.5,6.25,7.25,4.2
2008725,2002,3.6,6,5.25,-1,4,5,6.75,-1,-1,-1,4.2
2008726,2002,5,6.75,5.75,-1,4.25,6.75,6.25,-1,-1,-1,3.8
2008727,2002,6.8,6,6.5,-1,5.5,6,8,-1,-1,-1,5
2008728,2002,5.8,7,-1,4.83,-1,-1,-1,3.75,6,4.75,2.6
2008729,2002,7.4,7.25,5.83,-1,5.25,5.25,7,-1,-1,-1,3.6
2008730,2002,6.6,6.75,-1,6.5,-1,-1,-1,5.25,7.25,7,4.6
2008731,2002,7.2,8,-1,5,-1,-1,-1,2.75,5.5,6.75,3.2
2008732,2002,5.2,7.5,-1,5,-1,-1,-1,3.75,6,5.25,3.4
2008733,2002,7.4,6.75,6,-1,5,5.75,7.25,-1,-1,-1,5.8
2008734,2002,7,6.75,-1,5,-1,-1,-1,4,5.75,5.25,5
2008735,2002,6,6.25,-1,5.17,-1,-1,-1,3.5,6.25,5.75,1.6
2008736,2002,7,7,6.75,-1,5,7,8.25,-1,-1,-1,4.2
2008737,2002,7.4,7.25,7.25,-1,7.25,7,7.5,-1,-1,-1,3.8
2008738,2002,5.6,6.5,-1,5.17,-1,-1,-1,5.25,5.25,5,5.2
2008739,2002,6.2,6.75,5.92,-1,3.75,7.25,6.75,-1,-1,-1,4.2
2008740,2002,4,8.75,6.17,-1,4.5,5.75,8.25,-1,-1,-1,3.6
2008741,2002,7.8,8,-1,6.08,-1,-1,-1,5.5,6,6.75,3.8
2008742,2002,7.8,7.75,-1,7.58,-1,-1,-1,7.25,7.25,8.25,4.6
2008743,2002,6,6.5,-1,4.75,-1,-1,-1,3.25,4.5,6.5,3
2008744,2002,6.8,7.75,7.75,-1,8,6.75,8.5,-1,-1,-1,5.2
2008745,2002,5,5.5,5.67,-1,4.5,6.25,6.25,-1,-1,-1,2.8
2008747,2002,7.4,6.5,-1,5.33,-1,-1,-1,6,4.75,5.25,5
2008748,2002,7,5.25,-1,5.08,-1,-1,-1,4.75,6,4.5,7.2
2008749,2002,6.6,6.25,-1,5.83,-1,-1,-1,5,6.5,6,4.6
2008750,2002,8,4.25,-1,5.92,-1,-1,-1,4.75,6,7,3.4
2008751,2002,7.4,6.75,7,-1,5.5,7,8.5,-1,-1,-1,5.4
2008752,2002,7.4,6.5,-1,6.58,-1,-1,-1,5.25,7.5,7,4
2008753,2002,4.8,6,-1,4.5,-1,-1,-1,5,4,4.5,6.2
2008754,2002,6.8,5.75,6.17,-1,4.25,6.25,8,-1,-1,-1,4.6
2008755,2002,6.4,7.25,6.08,-1,3.75,7,7.5,-1,-1,-1,3.2
2008756,2002,7,6.5,6.75,-1,4.75,6.75,8.75,-1,-1,-1,5
2008757,2002,7.2,7.25,-1,6.83,-1,-1,-1,5.5,7.5,7.5,2.6
2008758,2002,7.4,8,7.67,-1,6.5,7.25,9.25,-1,-1,-1,6
2008759,2002,6,6,-1,4.58,-1,-1,-1,3.75,5.25,4.75,5.8
2008760,2002,8.8,6.5,-1,6.75,-1,-1,-1,6,7.5,6.75,4.8
2008761,2002,7.2,6.75,6.83,-1,4.5,7.25,8.75,-1,-1,-1,5.6
2008762,2002,7.2,6.83,-1,4.83,-1,-1,-1,4.5,5.5,4.5,5.6
2008763,2002,7,6.5,5.33,-1,4,5,7,-1,-1,-1,4
2008764,2002,7,7.25,-1,6.58,-1,-1,-1,6.25,6.75,6.75,5.2
2008765,2002,7.2,7,7.5,-1,7.5,6.25,8.75,-1,-1,-1,6.4
2008766,2002,5,6,5.08,-1,3.5,4.5,7.25,-1,-1,-1,6.6
2008767,2002,7.4,7.5,7,-1,4.75,7.75,8.5,-1,-1,-1,5.4
2008768,2002,7.2,5.75,-1,5.17,-1,-1,-1,3.75,6.5,5.25,3
2008769,2002,7.8,7,-1,6.08,-1,-1,-1,4.75,7.25,6.25,4.4
2008770,2002,7.8,6.5,-1,7.42,-1,-1,-1,6.5,8.25,7.5,4
2008771,2002,6.6,6.75,-1,3.92,-1,-1,-1,4,4.5,3.25,3.4
2008772,2002,6,6,-1,3.83,-1,-1,-1,5,3.25,3.25,2.4
2008773,2002,7,7.5,-1,5.33,-1,-1,-1,3.5,6.5,6,3.8
2008774,2001,6.6,6.5,-1,6.25,-1,-1,-1,5.25,7,6.5,5.6
2008775,2002,6.2,6.5,-1,5.42,-1,-1,-1,4.75,5,6.5,4
2008776,2002,8,6.75,7.33,-1,6.5,7,8.5,-1,-1,-1,4.6
2008777,2002,6.6,5.5,5.67,-1,5,4.5,7.5,-1,-1,-1,4.4
2008778,2002,7,6,-1,4.83,-1,-1,-1,3.25,5.25,6,4.6
2008779,2002,7,3.5,-1,3,-1,-1,-1,0,3.5,5.5,-1
2008780,2002,7.2,6.25,-1,6.67,-1,-1,-1,6,7,7,4.6
2008781,2002,6.6,6,-1,4.92,-1,-1,-1,5.5,3.75,5.5,2.2
2008782,2002,6.8,7.25,6.58,-1,4.5,7,8.25,-1,-1,-1,4.6
2008783,2002,4.6,6.25,-1,4,-1,-1,-1,3.5,3,5.5,3.4
2008784,2002,7,7.25,6.75,-1,4.5,7.5,8.25,-1,-1,-1,3.4
2008785,2002,7.2,8.25,7.42,-1,6,6.75,9.5,-1,-1,-1,4.2
2008786,2002,7,5.5,-1,5.33,-1,-1,-1,5,5.75,5.25,5.2
2008787,2002,7.2,6.75,-1,5.67,-1,-1,-1,5.75,5.75,5.5,8.8
2008788,2002,5.8,6.75,-1,4.5,-1,-1,-1,3.5,5.25,4.75,3.8
2008789,2002,7.4,7.5,-1,6.33,-1,-1,-1,5.75,5.75,7.5,4.2
2008790,2002,6.8,7,-1,5.42,-1,-1,-1,4.5,5.75,6,3.2
2008791,2002,6.8,7,-1,5.08,-1,-1,-1,3.75,5.75,5.75,4.8
2008792,2002,7.4,7.5,6.33,-1,5,6,8,-1,-1,-1,4.2
2008793,2002,7.4,8,6.58,-1,4.75,7,8,-1,-1,-1,2.8
2008794,2002,7.4,6.75,-1,6.25,-1,-1,-1,5.5,6.25,7,4.8
2008795,2002,5.4,7.5,6.92,-1,6.25,7,7.5,-1,-1,-1,3.8
2008796,2002,8,6.75,-1,6.58,-1,-1,-1,5.75,6.75,7.25,4.6
2008797,2002,6.8,4.5,-1,6.17,-1,-1,-1,5.25,6.25,7,7
2008798,2002,5.6,5.25,-1,4.5,-1,-1,-1,3.5,4.75,5.25,4
2008799,2002,9.2,7.25,-1,6.92,-1,-1,-1,6,7.25,7.5,6.2
2008800,2002,8.2,6.25,-1,6.33,-1,-1,-1,5.5,6.5,7,4.2
2008801,2002,5.8,5.5,7,-1,6,7.5,7.5,-1,-1,-1,3.2
2008802,2002,7.2,7.25,6,-1,4.5,6.25,7.25,-1,-1,-1,4.6
2008803,2002,6.4,6.75,5.17,-1,3.25,4.5,7.75,-1,-1,-1,3.6
2008804,2002,6.4,6.25,7.17,-1,6.5,6,9,-1,-1,-1,4.6
2008805,2002,6.6,6.5,5.58,-1,3.25,5.25,8.25,-1,-1,-1,4.6
2008806,2002,8,8.25,-1,7,-1,-1,-1,6.25,7.5,7.25,4.4
2008807,2002,4.6,7,6.25,-1,4.25,6.25,8.25,-1,-1,-1,3.4
2008808,2002,7.8,7.25,7.33,-1,5,8,9,-1,-1,-1,5
2008809,2002,7.6,7,-1,7.17,-1,-1,-1,5.75,8,7.75,5
2008810,2002,4.8,7,-1,4.58,-1,-1,-1,4.25,5.5,4,2.4
2008811,2002,7.4,6,-1,6.17,-1,-1,-1,6.25,5.75,6.5,7.6
2008812,2002,5.8,5,-1,3.58,-1,-1,-1,2,4.75,4,3
2008813,2002,6,6.5,-1,5,-1,-1,-1,4.25,4.75,6,4
2008814,2002,7.6,7,-1,6.83,-1,-1,-1,6.25,7,7.25,4.8
2008815,2002,6.6,2.5,-1,4.42,-1,-1,-1,2.5,6.25,4.5,7.8
2008816,2002,8,7,-1,6.25,-1,-1,-1,5,6.75,7,7.8
2008817,2002,7.2,6.25,-1,4.83,-1,-1,-1,4.5,5.25,4.75,5.2
2008818,2002,6.2,7,6.58,-1,3.25,7.75,8.75,-1,-1,-1,5.6
2008819,2002,7.2,4.75,6.08,-1,4.75,6.5,7,-1,-1,-1,3.4
2008820,2002,5.8,6,-1,5.33,-1,-1,-1,4.5,5.25,6.25,8
2008821,2002,7.6,7.25,-1,5.5,-1,-1,-1,4.5,6.25,5.75,4.6
2008822,2002,6.6,5.75,-1,3.75,-1,-1,-1,4.25,3.75,3.25,4.6
2008823,2002,6.4,6.5,-1,5.17,-1,-1,-1,3.75,6.25,5.5,3.8
2008824,2002,7.4,5.5,-1,5.33,-1,-1,-1,6.25,4.75,5,7
2008825,2002,7.2,7,-1,5.67,-1,-1,-1,4,6,7,5
2008826,2002,6.6,7.5,6.67,-1,6,5.25,8.75,-1,-1,-1,5.4
2008827,2002,6.6,7.75,-1,5.25,-1,-1,-1,6,5.25,4.5,5.8
2008828,2001,6.2,7.5,6.25,-1,4.75,6.75,7.25,-1,-1,-1,4.4
2008829,2002,5.6,5.5,-1,5.08,-1,-1,-1,4,6,5.25,3.8
2008830,2002,6.4,6,6,-1,4,6,8,-1,-1,-1,2.6
2008831,2002,7,5.75,-1,5.75,-1,-1,-1,4.25,6.5,6.5,4.8
2008832,2002,7.4,7,6.5,-1,6.25,5.5,7.75,-1,-1,-1,3.6
2008833,2002,7,6.25,-1,5.83,-1,-1,-1,5,6.5,6,5
2008834,2002,7.2,5.5,-1,5.75,-1,-1,-1,5,6,6.25,8.2
2008835,2002,6.4,5.5,6.42,-1,4.5,7.25,7.5,-1,-1,-1,6.8
2008836,2002,5.6,5.5,-1,4.5,-1,-1,-1,5,4.5,4,6
2008837,2002,6.2,7.5,6.5,-1,5.75,6,7.75,-1,-1,-1,3.6
2008838,2002,7.4,7.5,-1,6.08,-1,-1,-1,5.75,5.25,7.25,4
2008839,2002,6.2,7,6.08,-1,4.25,6,8,-1,-1,-1,3.2
2008840,2002,6.6,6.5,5.92,-1,4,5.5,8.25,-1,-1,-1,5.4
2008841,2002,7,7.5,-1,5.75,-1,-1,-1,4.5,6.25,6.5,4
2008842,2002,6.8,7,7.5,-1,5.75,7.5,9.25,-1,-1,-1,4.6
2008843,2002,8.2,7,-1,7.17,-1,-1,-1,6,7.25,8.25,5.6
2008844,2002,6.4,6.5,-1,5.5,-1,-1,-1,4.5,5.5,6.5,5.2
2008845,2002,8,6,-1,7.25,-1,-1,-1,6,8.5,7.25,5.6
2008846,2002,5,6.25,-1,5.5,-1,-1,-1,5.25,6.5,4.75,3.2
2008847,2002,7.4,5.75,7.5,-1,6.5,7.25,8.75,-1,-1,-1,4.2
2008848,2002,7,6.25,-1,5.58,-1,-1,-1,5,5.75,6,3.4
2008849,2002,6.8,4.75,-1,5.08,-1,-1,-1,5,5,5.25,3.4
2008850,2002,6.8,7.75,-1,6.25,-1,-1,-1,5.5,7,6.25,5.4
2008851,2002,6.6,8,6.42,-1,5,6,8.25,-1,-1,-1,4.8
2008852,2002,6.6,7.25,6.42,-1,5.5,5.5,8.25,-1,-1,-1,4.6
2008853,2002,7.2,6.75,7.75,-1,7,7,9.25,-1,-1,-1,5.6
2008854,2002,7,7.75,7.58,-1,7,7.5,8.25,-1,-1,-1,3.8
2008855,2002,6.4,5.75,7.08,-1,5.5,6.5,9.25,-1,-1,-1,3.4
2008856,2002,7.6,5.75,-1,6.58,-1,-1,-1,4.75,7.25,7.75,3.2
2008857,2002,7.4,7.25,-1,5.42,-1,-1,-1,4.75,7,4.5,4
2008858,2002,6.6,7.75,-1,4.17,-1,-1,-1,3.25,5.25,4,5.8
2008859,2002,7.4,6.5,-1,6.08,-1,-1,-1,4.75,6.75,6.75,5.2
2008860,2002,7.8,6.75,6.17,-1,5.25,5.75,7.5,-1,-1,-1,5.8
2008861,2002,6.8,8,6,-1,4.25,5.75,8,-1,-1,-1,4.6
2008862,2002,6,7.75,5.5,-1,3.75,5.25,7.5,-1,-1,-1,5.2
2008863,2002,4.6,4.25,3.25,-1,2.75,2.75,4.25,-1,-1,-1,2.4
2008864,2002,7.2,6.5,-1,5.67,-1,-1,-1,5.5,5.5,6,4
2008865,2002,5.8,6.75,6.5,-1,4.5,6.5,8.5,-1,-1,-1,3
2008866,2002,5.8,6,6.33,-1,4,6.75,8.25,-1,-1,-1,4.8
2008867,2002,7,7,6,-1,3.75,5.5,8.75,-1,-1,-1,4
2008868,2002,6.6,7.25,7,-1,5.25,7,8.75,-1,-1,-1,3.6
2008869,2002,7.4,7,-1,5.42,-1,-1,-1,6,5.75,4.5,4.4
2008870,2002,7.2,7.5,-1,6.5,-1,-1,-1,6.75,6.25,6.5,5.2
2008871,2002,7,5.5,-1,5.17,-1,-1,-1,4.25,6.25,5,5.2
2008872,2002,7,7,-1,5,-1,-1,-1,5.75,5,4.25,4.8
2008873,2002,7,6.75,-1,6.25,-1,-1,-1,5.5,6.75,6.5,3.8
2008874,2002,8.2,6.75,-1,6.75,-1,-1,-1,5.75,7.25,7.25,5.4
2008875,2002,6.2,5.75,-1,4.92,-1,-1,-1,5,5.25,4.5,5.8
2008876,2002,5.6,6,-1,6,-1,-1,-1,5,5.75,7.25,6.8
2008877,2002,7.2,7,7.42,-1,6.25,8,8,-1,-1,-1,4
2008878,2002,5.4,6,6.5,-1,5.25,6.5,7.75,-1,-1,-1,4.6
2008879,2001,5.6,6,4.92,-1,3.75,5,6,-1,-1,-1,3.2
2008880,2002,6.6,6.5,6.5,-1,5.75,6,7.75,-1,-1,-1,4
2008881,2002,6.8,6.75,-1,6.42,-1,-1,-1,6.5,5.75,7,3.8
2008882,2002,6,6.75,-1,4.58,-1,-1,-1,4.75,5,4,3.4
2008883,2002,7,6,-1,6.5,-1,-1,-1,5,6.5,8,5
2008884,2002,6.6,6.75,-1,6.25,-1,-1,-1,4.75,7.5,6.5,4.6
2008885,2002,7.8,7.67,5.08,-1,3.25,4,8,-1,-1,-1,4.6
2008886,2002,7.8,7.75,-1,5.33,-1,-1,-1,5.25,5,5.75,7
2008887,2002,6.6,6.25,5.75,-1,4,6,7.25,-1,-1,-1,3.6
2008888,2002,4.6,6.5,-1,3.83,-1,-1,-1,5,2.75,3.75,3.6
2008889,2002,6.2,7,-1,3.92,-1,-1,-1,2.25,5.25,4.25,3.4
2008890,2002,7.2,7,-1,6,-1,-1,-1,5,6.5,6.5,1.8
2008891,2002,5.4,5.75,5.33,-1,4.25,4.75,7,-1,-1,-1,3.8
2008892,2002,6.8,7.25,6.75,-1,5,6,9.25,-1,-1,-1,3.8
2008893,2002,6.6,7.25,6.5,-1,5.5,6.5,7.5,-1,-1,-1,3.6
2008894,2001,4.8,6.25,5.17,-1,4.25,3.75,7.5,-1,-1,-1,4
2008895,2002,6.6,6.5,6.67,-1,3.75,7.25,9,-1,-1,-1,5.2
2008896,2002,5.4,7.25,-1,5.75,-1,-1,-1,5.5,5,6.75,4.8
2008897,2002,7.2,6.75,-1,5.83,-1,-1,-1,5.25,6,6.25,3.2
2008898,2002,7.6,6,-1,5.08,-1,-1,-1,4.5,6,4.75,7.6
2008899,2002,7.6,6.5,-1,7,-1,-1,-1,6.25,7,7.75,5
2008900,2002,4.6,6.5,6.33,-1,4.75,7,7.25,-1,-1,-1,2.8
2008901,2002,7.2,6,6.92,-1,5.5,7.5,7.75,-1,-1,-1,5.4
2008902,2002,7.8,6,-1,7.17,-1,-1,-1,6.25,7.5,7.75,5
2008903,2002,4.6,7,5.17,-1,4.75,4.5,6.25,-1,-1,-1,3.2
2008904,2002,8,6.75,-1,6.17,-1,-1,-1,3.5,7.25,7.75,4
2008905,2002,8,8.25,7.58,-1,6.75,7.25,8.75,-1,-1,-1,5.8
2008906,2002,7.6,7.5,-1,6,-1,-1,-1,6.25,6.75,5,4.4
2008907,2002,6.6,8,5.08,-1,3.5,6,5.75,-1,-1,-1,3.6
2008908,2002,6.2,7,-1,5.67,-1,-1,-1,4,7.5,5.5,4.4
2008909,2002,7,8,-1,5.67,-1,-1,-1,5.5,6.5,5,5.2
2008910,2002,7.2,6.25,7.58,-1,6,7.5,9.25,-1,-1,-1,4.6
2008911,2002,6.4,7.5,7.08,-1,5,7.5,8.75,-1,-1,-1,4.2
2008912,2002,7.4,8,-1,4.33,-1,-1,-1,4.5,3.75,4.75,4.8
2008913,2002,9,6.75,-1,6.67,-1,-1,-1,5.5,7.25,7.25,6.2
2008914,2002,6.4,7.75,6.25,-1,3.75,6.25,8.75,-1,-1,-1,4.6
2008915,2002,6,6.5,-1,5.17,-1,-1,-1,4.75,6.5,4.25,4.6
2008916,2002,7.4,6.25,-1,4.33,-1,-1,-1,3,5.75,4.25,4.6
2008917,2002,6.4,5.25,-1,4.17,-1,-1,-1,4,4.5,4,3.8
2008918,2002,7,6.5,6.75,-1,4.25,6.75,9.25,-1,-1,-1,6
2008919,2002,6,4.75,7.67,-1,6.75,7.25,9,-1,-1,-1,5.4
2008920,2002,7.2,6.25,6.58,-1,5,5.75,9,-1,-1,-1,4.2
2008921,2002,7.6,5.75,-1,6.33,-1,-1,-1,5.5,6.25,7.25,6
2008922,2002,8.8,6.25,-1,6.5,-1,-1,-1,4.5,7.25,7.75,3.6
2008923,2002,8,5.5,-1,6.08,-1,-1,-1,4.75,6.5,7,4
2008924,2001,7,5.75,-1,4.67,-1,-1,-1,4.5,5.75,3.75,3.6
2008925,2002,8,7.5,7,-1,4.75,7.25,9,-1,-1,-1,5
2008926,2002,5.2,5.5,6.58,-1,3.75,7.5,8.5,-1,-1,-1,6.4
2008927,2002,6.8,5.5,6.58,-1,5,6.75,8,-1,-1,-1,3.2
2008928,2002,6.4,7.5,5.5,-1,3.5,5.75,7.25,-1,-1,-1,4.8
2008929,2002,7.4,7.25,7.25,-1,5,8,8.75,-1,-1,-1,3.2
2008930,2002,7.8,6.75,-1,5.17,-1,-1,-1,4.75,5.5,5.25,4.2
2008931,2002,8.2,7,-1,5.67,-1,-1,-1,5.75,5.75,5.5,6.2
2008932,2002,8.4,8,-1,5.25,-1,-1,-1,4.75,5.75,5.25,5.2
2008933,2002,8.2,6.25,-1,7.17,-1,-1,-1,6.5,7.75,7.25,7
2008934,2002,3.8,6.5,4.58,-1,3.25,5.75,4.75,-1,-1,-1,3
2008935,2002,6.6,6,-1,4.33,-1,-1,-1,4.75,2.5,5.75,4.2
2008936,2002,6.2,6.5,-1,4.83,-1,-1,-1,5.25,4,5.25,4
2008937,2002,4.8,6.25,6.92,-1,6.75,6,8,-1,-1,-1,3.2
2008938,2002,6,6.5,6.83,-1,6.5,6.75,7.25,-1,-1,-1,4.8
2008939,2002,6.6,6.75,-1,5.25,-1,-1,-1,4,7,4.75,4.6
2008940,2002,6.2,7,-1,4.58,-1,-1,-1,3.75,6,4,3.2
2008941,2002,7.6,6.5,-1,6.42,-1,-1,-1,6,6.5,6.75,3.6
2008942,2002,5,7,-1,4.08,-1,-1,-1,3.75,3.75,4.75,3.8
2008943,2002,8.6,7.5,-1,5.5,-1,-1,-1,4.25,7,5.25,4.4
2008944,2002,6.2,7.75,5,-1,2.5,6,6.5,-1,-1,-1,2.6
2008945,2002,5.6,7.75,-1,6.67,-1,-1,-1,5.75,7.5,6.75,5.4
2008946,2002,5.8,7.25,-1,5,-1,-1,-1,4.5,6,4.5,4
2008947,2002,7.8,8,6.67,-1,5,6.75,8.25,-1,-1,-1,4.4
2008948,2002,6.8,6.75,6.83,-1,4,7.5,9,-1,-1,-1,6.6
2008949,2002,8.6,5.75,-1,6.42,-1,-1,-1,5.25,6.5,7.5,5.8
2008950,2002,8.6,6,-1,6.67,-1,-1,-1,6.5,7,6.5,3.2
2008951,2002,7.6,7,-1,5.5,-1,-1,-1,5,4.5,7,5
2008952,2002,6.4,6,6.08,-1,5,4.5,8.75,-1,-1,-1,4.4
2008953,2002,6.8,6.75,6.5,-1,3.25,7.25,9,-1,-1,-1,2.8
2008954,2002,6.8,7,-1,5.33,-1,-1,-1,5.25,5.75,5,4.6
2008955,2002,6.4,7.25,6.58,-1,4.25,6.5,9,-1,-1,-1,5.2
2008956,2002,4.4,7,4.92,-1,4.25,4.5,6,-1,-1,-1,4.4
2008957,2002,7.4,6.5,-1,5.92,-1,-1,-1,5,6.5,6.25,5
2008958,2002,7.2,5.75,5.92,-1,4.75,6.25,6.75,-1,-1,-1,2.8
2008959,2002,7.4,6.5,-1,6.5,-1,-1,-1,5.5,6.5,7.5,5
2008960,2002,8.4,6,7.75,-1,6,8,9.25,-1,-1,-1,4.4
2008961,2002,5.6,7,5.42,-1,3.5,5.75,7,-1,-1,-1,2.8
2008962,2002,6.4,7.25,-1,6,-1,-1,-1,4.25,6.25,7.5,3.8
2008963,2002,7.6,6.5,-1,5.33,-1,-1,-1,4.5,7.25,4.25,4.2
2008964,2002,6.8,5.5,-1,4.33,-1,-1,-1,4.25,4,4.75,3.4
2008965,2002,6.2,6,-1,5.5,-1,-1,-1,5.75,5.5,5.25,2.8
2008966,2002,6.4,6,7.75,-1,7,7.5,8.75,-1,-1,-1,6.2
2008967,2002,7.8,5.75,-1,6.58,-1,-1,-1,5.25,7,7.5,5.8
2008968,2002,6.8,6.75,-1,5.5,-1,-1,-1,4,6,6.5,7.8
2008969,2002,8.4,7,-1,7.25,-1,-1,-1,6.5,7.75,7.5,5
2008970,2002,5.8,7,-1,5.25,-1,-1,-1,5,5.5,5.25,3.6
2008971,2002,5,6.5,-1,4.25,-1,-1,-1,4.5,4.5,3.75,4.8
2008972,2002,7.4,7.25,7,-1,5.5,7.25,8.25,-1,-1,-1,5.8
2008973,2002,7.6,6.75,-1,5.83,-1,-1,-1,5.5,6,6,4
2008974,2002,7.8,7.25,-1,6.08,-1,-1,-1,5.25,5.75,7.25,5.2
2008975,2002,6.6,6.75,4.75,-1,3,4.75,6.5,-1,-1,-1,4.4
2008976,2002,8.8,7.5,-1,6.75,-1,-1,-1,6,7,7.25,6.2
2008977,2002,7.2,6.75,-1,4.92,-1,-1,-1,4.25,4.25,6.25,4.4
2008978,2002,6.8,6.5,-1,5.83,-1,-1,-1,4.5,7,6,6.4
2008979,2002,7.6,6.75,-1,6.33,-1,-1,-1,5.25,6.75,7,5.2
2008980,2002,6.4,6.25,5.75,-1,2.5,6,8.75,-1,-1,-1,4.4
2008981,2002,5.2,6.75,6.08,-1,4.25,6.75,7.25,-1,-1,-1,4.6
2008982,2002,7,6.75,-1,6.33,-1,-1,-1,6.25,7.25,5.5,4.6
2008983,2002,6.6,6,7.67,-1,7,7.5,8.5,-1,-1,-1,5.4
2008984,2002,7.8,6.5,-1,7.08,-1,-1,-1,5.75,8.25,7.25,4.8
2008985,2002,6.2,6.5,5.58,-1,4.25,5.5,7,-1,-1,-1,4.2
2008986,2002,8.4,7.5,-1,6.33,-1,-1,-1,5.5,6,7.5,7.6
2008987,2002,6.2,6.75,7.25,-1,4.25,8.25,9.25,-1,-1,-1,4.4
2008988,2002,7.4,7.5,-1,5.58,-1,-1,-1,5.25,6.25,5.25,4.6
2008989,2002,5.4,6.75,-1,5.75,-1,-1,-1,5,5.25,7,4.8
2008990,2002,7.8,7,-1,6.33,-1,-1,-1,6.25,6.75,6,3.2
2008991,2002,4.6,7.25,-1,3.92,-1,-1,-1,2.75,4.25,4.75,3.8
2008992,2002,7.8,7.5,-1,6.25,-1,-1,-1,5.25,6.75,6.75,5.2
2008993,2001,5.8,6.5,6.83,-1,5.25,8,7.25,-1,-1,-1,5
2008994,2002,5.4,5.75,-1,3.75,-1,-1,-1,4,4.5,2.75,4.8
2008995,2002,7.4,6.75,-1,5.83,-1,-1,-1,6,5.75,5.75,5
2008996,2002,7.4,6.25,-1,6.83,-1,-1,-1,6.75,7.75,6,7.8
2008997,2002,6,6.66,5.92,-1,4.75,5.75,7.25,-1,-1,-1,3
2008998,2002,9.2,7.5,-1,7.58,-1,-1,-1,6.75,8.25,7.75,8
2008999,2002,6.4,7,6.67,-1,4.25,6.75,9,-1,-1,-1,1.6
2009000,2002,8.2,7,6.08,-1,4,5.75,8.5,-1,-1,-1,3.2
2009001,2002,7.6,8.25,-1,7.08,-1,-1,-1,5.5,8,7.75,4
2009002,2002,6,7.25,-1,5.75,-1,-1,-1,5,6,6.25,4
2009003,2002,7.4,5.5,-1,5,-1,-1,-1,2.75,6.25,6,2.4
2009004,2002,5.2,5.75,5.33,-1,3.5,5.75,6.75,-1,-1,-1,3.6
2009005,2002,8,6.25,-1,6,-1,-1,-1,4.75,6.5,6.75,4.6
2009006,2002,7.8,6.75,-1,4.92,-1,-1,-1,3.25,4.5,7,4.8
2009007,2002,7.8,7,-1,4.75,-1,-1,-1,3,7.5,3.75,6.2
2009008,2002,7.6,6.75,5.33,-1,3.5,5.75,6.75,-1,-1,-1,6.8
2009009,2002,7.6,6.5,6.58,-1,5.25,6.75,7.75,-1,-1,-1,2.6
2009010,2002,6.8,6.25,-1,6,-1,-1,-1,5,6.25,6.75,3.2
2009011,2002,4.8,6.25,5.58,-1,3.75,6.5,6.5,-1,-1,-1,3.8
2009012,2002,7.4,7.5,7.5,-1,6.75,7,8.75,-1,-1,-1,5.8
2009013,2002,6.8,6,-1,4.92,-1,-1,-1,4.5,5,5.25,4.8
2009014,2002,7.6,6.75,-1,4.92,-1,-1,-1,4.75,5.25,4.75,3.6
2009015,2002,7.8,7,-1,4.33,-1,-1,-1,3.5,6.25,3.25,4.4
2009016,2002,7.6,6,-1,4.58,-1,-1,-1,1.75,6,6,6.4
2009017,2002,7,6.5,-1,4.83,-1,-1,-1,3.75,5.5,5.25,4.6
2009018,2002,7.2,6.75,6.67,-1,5.75,6.75,7.5,-1,-1,-1,4.6
2009019,2002,6.8,6.5,-1,5.75,-1,-1,-1,5,7.5,4.75,4.8
2009020,2002,4.4,6.5,5.33,-1,4.5,5,6.5,-1,-1,-1,3.6
2009021,2002,8,6.25,-1,6.5,-1,-1,-1,6.25,7,6.25,6.8
2009022,2002,7.4,6.75,5.75,-1,3.75,5.25,8.25,-1,-1,-1,3.6
2009023,2002,7.4,7,-1,4.92,-1,-1,-1,4.75,5.25,4.75,4.2
2009024,2002,5.2,7.25,6,-1,5.5,5.25,7.25,-1,-1,-1,4.6
2009025,2002,7.4,7,-1,5.83,-1,-1,-1,5.25,6.25,6,4.2
2009026,2002,7,6.75,6.58,-1,4.25,7,8.5,-1,-1,-1,6
